Date,IEMS,IQQE,Gold
11/28/2016,55.06435,31.62,1124.521677
11/29/2016,55.283385,31.33,1123.159473
11/30/2016,54.91352,31.56,1100.903286
12/1/2016,54.55918,31.34,1098.052923
12/2/2016,54.427424,30.97,1104.241447
12/5/2016,54.14848,30.94,1096.9856
12/6/2016,54.191172,31.02,1087.736138
12/7/2016,54.59656,31.28,1095.1
12/8/2016,54.767048,31.99,1086.978206
12/9/2016,55.812603,32.26,1098.067763
12/12/2016,55.410498,31.68,1098.1113
12/13/2016,55.7206,31.88,1090.189704
12/14/2016,55.69356,31.75,1091.041396
12/15/2016,55.994732,31.73,1082.462487
12/16/2016,55.816833,31.62,1087.503917
12/19/2016,55.651,31.53,1094.30975
12/20/2016,55.626485,31.64,1091.78435
12/21/2016,55.311344,31.43,1085.403537
12/22/2016,54.338125,30.8,1080.826047
12/23/2016,54.700122,30.99,1083.567893
12/27/2016,null,31.22,1088.851067
12/28/2016,55.309342,31.63,1095.419183
12/29/2016,55.67994,31.8,1106.327903
12/30/2016,55.432541,31.63,1091.005
1/2/2017,null,31.72,null
1/3/2017,56.493343,32.3,1117.349183
1/4/2017,56.671615,32.26,1115.036827
1/5/2017,56.814218,32.17,1123.428263
1/6/2017,56.059584,32.23,1106.742383
1/9/2017,56.112609,32.27,1125.39015
1/10/2017,56.257535,32.48,1120.608414
1/11/2017,56.526177,32.75,1138.330737
1/12/2017,55.687708,32.42,1122.649982
1/13/2017,55.87666,32.69,1121.191446
1/16/2017,56.001587,32.58,null
1/17/2017,55.85112,32.53,1134.432
1/18/2017,56.177607,32.53,1135.836056
1/19/2017,55.719056,32.5,1125.723682
1/20/2017,55.87164,32.38,1132.764626
1/23/2017,55.895337,32.54,1133.9595
1/24/2017,56.279896,32.83,1126.063166
1/25/2017,56.629872,33.17,1114.446886
1/26/2017,56.59003,33.33,1111.7067
1/27/2017,56.808616,33.23,1112.299198
1/30/2017,56.790059,33.08,1122.443194
1/31/2017,56.541138,32.83,1123.756258
2/1/2017,56.67382,32.99,1117.350058
2/2/2017,56.99232,32.98,1125.690795
2/3/2017,58.02923,33.3,1134.4235
2/6/2017,57.830325,33.39,1148.205
2/7/2017,58.184648,33.36,1156.198514
2/8/2017,58.346848,33.4,1160.373737
2/9/2017,58.699428,33.72,1155.189008
2/10/2017,59.289216,34.03,1161.323543
2/13/2017,59.336256,34.36,1151.915543
2/14/2017,59.411754,34.21,1152.179483
2/15/2017,60.226218,34.59,1166.912534
2/16/2017,59.651352,34.29,1164.112
2/17/2017,59.31663,34.16,1162.106377
2/20/2017,60.06192,34.46,null
2/21/2017,60.66957,34.86,1174.3875
2/22/2017,61.1146,34.92,1171.8784
2/23/2017,61.391878,34.89,1182.439114
2/24/2017,60.307548,34.55,1184.753963
2/27/2017,60.463846,34.28,1187.740063
2/28/2017,60.123127,34.03,1182.078597
3/1/2017,60.866034,34.67,1185.705683
3/2/2017,60.337784,34.31,1171.660113
3/3/2017,59.95131,34.19,1159.93575
3/6/2017,60.120288,34.24,1156.05045
3/7/2017,60.521455,34.36,1148.877027
3/8/2017,60.380902,34.22,1144.81205
3/9/2017,59.389148,33.7,1139.634743
3/10/2017,59.478132,33.67,1132.139984
3/13/2017,59.634702,34.18,1127.610743
3/14/2017,59.58701,34.21,1130.507163
3/15/2017,60.033078,34.41,1129.774117
3/16/2017,60.739345,34.86,1143.46595
3/17/2017,61.081212,34.76,1145.435766
3/20/2017,61.274988,35.25,1147.371338
3/21/2017,60.510288,34.76,1153.639358
3/22/2017,60.579391,34.77,1155.977335
3/23/2017,60.929012,34.85,1156.001012
3/24/2017,61.083,34.87,1155.209055
3/27/2017,60.256224,34.39,1152.959382
3/28/2017,60.641265,34.71,1156.005815
3/29/2017,61.211016,35.05,1166.163382
3/30/2017,61.500342,35.1,1159.593
3/31/2017,61.446426,34.86,1166.724466
4/3/2017,62.01118,35.11,1173.250446
4/4/2017,62.408683,35.17,1178.3195
4/5/2017,62.16487,35.32,1166.317122
4/6/2017,62.153504,35.11,1172.281326
4/7/2017,62.490701,35.15,1179.920056
4/10/2017,62.30186,34.98,1182.789917
4/11/2017,61.64448,34.67,1197.470354
4/12/2017,61.66277,34.9,1202.607946
4/13/2017,62.321375,35.15,1209.646153
4/17/2017,null,null,1212.938603
4/18/2017,61.611322,34.71,1209.289494
4/19/2017,61.323948,34.48,1194.777382
4/20/2017,61.370358,34.47,1193.064352
4/21/2017,61.584624,34.74,1203.461542
4/24/2017,61.189084,34.77,1176.032485
4/25/2017,61.592856,34.87,1162.073898
4/26/2017,61.42338,34.97,1158.607778
4/27/2017,61.06755,34.82,1161.340255
4/28/2017,61.014681,34.8,1158.354868
5/1/2017,null,null,1146.644215
5/2/2017,61.504506,35.21,1149.922598
5/3/2017,61.22123,34.97,1141.453142
5/4/2017,61.034688,34.64,1122.4928
5/5/2017,60.695319,34.54,1117.385085
5/8/2017,61.105128,34.96,1120.169305
5/9/2017,61.688928,35.51,1115.213165
5/10/2017,61.84197,35.61,1118.577015
5/11/2017,61.896176,35.63,1125.862115
5/12/2017,62.001885,35.7,1127.490855
5/15/2017,61.765578,35.86,1119.746018
5/16/2017,61.295718,35.64,1116.687
5/17/2017,60.509365,35.04,1131.12125
5/18/2017,59.199768,34.35,1124.777576
5/19/2017,59.868885,34.76,1120.540106
5/22/2017,59.447496,34.74,1121.266536
5/23/2017,59.405054,34.88,1118.905204
5/24/2017,59.643384,34.96,1118.894181
5/25/2017,null,35.18,1119.796904
5/26/2017,60.174884,35.29,1132.220299
5/29/2017,null,35.28,null
5/30/2017,59.58015,35.2,1129.579479
5/31/2017,59.549984,34.66,1133.6064
6/1/2017,59.7171,35.02,1129.2771
6/2/2017,60.22974,34.99,1138.267244
6/5/2017,60.15863,null,1137.297744
6/6/2017,59.87142,35,1149.815541
6/7/2017,60.202995,35.01,1150.124129
6/8/2017,60.578612,35.3,1136.672824
6/9/2017,60.944828,35.52,1135.0538
6/12/2017,59.97776,34.97,1128.348299
